DCGM_FI_DEV_SM_CLOCK,  gauge, SM clock frequency (in MHz).
DCGM_FI_DEV_MEM_CLOCK, gauge, Memory clock frequency (in MHz).
DCGM_FI_DEV_MEMORY_TEMP, gauge, Memory temperature (in C).
DCGM_FI_DEV_GPU_TEMP,    gauge, GPU temperature (in C).
DCGM_FI_DEV_POWER_USAGE,              gauge,   Power draw (in W).
DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION, counter, Total energy consumption since boot (in mJ).
DCGM_FI_DEV_POWER_MGMT_LIMIT,     gauge, Current power management limit (in W).
DCGM_FI_DEV_POWER_MGMT_LIMIT_MIN, gauge, Minimum power management limit (in W).
DCGM_FI_DEV_POWER_MGMT_LIMIT_MAX, gauge, Maximum power management limit (in W).
DCGM_FI_DEV_POWER_VIOLATION,       counter, Cumulative duration GPU was throttled due to power (in us).
DCGM_FI_DEV_THERMAL_VIOLATION,     counter, Cumulative duration GPU was throttled due to thermal (in us).
DCGM_FI_DEV_SYNC_BOOST_VIOLATION,  counter, Cumulative duration GPU was throttled due to sync boost (in us).
DCGM_FI_DEV_BOARD_LIMIT_VIOLATION, counter, Cumulative duration GPU was throttled due to board limit (in us).
DCGM_FI_DEV_LOW_UTIL_VIOLATION,    counter, Cumulative duration GPU was throttled due to low utilization (in us).
DCGM_FI_DEV_RELIABILITY_VIOLATION, counter, Cumulative duration GPU was throttled due to reliability (in us).
DCGM_FI_DEV_GPU_UTIL,      gauge, GPU utilization (in %).
DCGM_FI_DEV_MEM_COPY_UTIL, gauge, Memory bandwidth utilization (in %).
DCGM_FI_DEV_NVLINK_CRC_DATA_ERROR_COUNT_TOTAL,   counter, Total NVLink data CRC errors.
DCGM_FI_DEV_NVLINK_REPLAY_ERROR_COUNT_TOTAL,     counter, Total NVLink flow control CRC errors.
DCGM_FI_DEV_NVLINK_RECOVERY_ERROR_COUNT_TOTAL,   counter, Total NVLink recovery errors.
DCGM_FI_DEV_ECC_SBE_VOL_TOTAL, counter, Total single-bit volatile ECC errors.
DCGM_FI_DEV_ECC_DBE_VOL_TOTAL, counter, Total double-bit volatile ECC errors.
DCGM_FI_DEV_XID_ERRORS, gauge, Value of the last XID error encountered.
DCGM_FI_DRIVER_VERSION,  label, Driver Version.
DCGM_FI_DEV_BRAND,        label, Device brand.
